Area;latitude;longitude;YEARS;Population
Riyadh;24.65;46.71;2010;6816785
Riyadh;24.65;46.71;2011;7025998
Riyadh;24.65;46.71;2012;7223875
Riyadh;24.65;46.71;2013;7419519
Riyadh;24.65;46.71;2014;7618398
Riyadh;24.65;46.71;2015;7816322
Riyadh;24.65;46.71;2016;8014678
Riyadh;24.65;46.71;2017;8234302
Riyadh;24.65;46.71;2018;8446866
Riyadh;24.65;46.71;2019;8660885
Makkah;21.4225;39.8261;2010;7014330
Makkah;21.4225;39.8261;2011;7244429
Makkah;21.4225;39.8261;2012;7462944
Makkah;21.4225;39.8261;2013;7679828
Makkah;21.4225;39.8261;2014;7900474
Makkah;21.4225;39.8261;2015;8119835
Makkah;21.4225;39.8261;2016;8338321
Makkah;21.4225;39.8261;2017;8575578
Makkah;21.4225;39.8261;2018;8803545
Makkah;21.4225;39.8261;2019;9033491
Madinah;24.4667;39.6;2010;1803289
Madinah;24.4667;39.6;2011;1851962
Madinah;24.4667;39.6;2012;1898262
Madinah;24.4667;39.6;2013;1944171
Madinah;24.4667;39.6;2014;1990715
Madinah;24.4667;39.6;2015;2036933
Madinah;24.4667;39.6;2016;2083326
Madinah;24.4667;39.6;2017;2136553
Madinah;24.4667;39.6;2018;2188138
Madinah;24.4667;39.6;2019;2239923
Qaseem;26.2078;43.4837;2010;1222742
Qaseem;26.2078;43.4837;2011;1251946
Qaseem;26.2078;43.4837;2012;1279631
Qaseem;26.2078;43.4837;2013;1306957
Qaseem;26.2078;43.4837;2014;1334617
Qaseem;26.2078;43.4837;2015;1362085
Qaseem;26.2078;43.4837;2016;1389929
Qaseem;26.2078;43.4837;2017;1423130
Qaseem;26.2078;43.4837;2018;1455693
Qaseem;26.2078;43.4837;2019;1488285
Eastern Region;23.5681;50.6794;2010;4147509
Eastern Region;23.5681;50.6794;2011;4259631
Eastern Region;23.5681;50.6794;2012;4365476
Eastern Region;23.5681;50.6794;2013;4469805
Eastern Region;23.5681;50.6794;2014;4575649
Eastern Region;23.5681;50.6794;2015;4680984
Eastern Region;23.5681;50.6794;2016;4787375
Eastern Region;23.5681;50.6794;2017;4909385
Eastern Region;23.5681;50.6794;2018;5028753
Eastern Region;23.5681;50.6794;2019;5148598
Aseer;19.0969;42.8638;2010;1940226
Aseer;19.0969;42.8638;2011;1979618
Aseer;19.0969;42.8638;2012;2017223
Aseer;19.0969;42.8638;2013;2054465
Aseer;19.0969;42.8638;2014;2091979
Aseer;19.0969;42.8638;2015;2129136
Aseer;19.0969;42.8638;2016;2166983
Aseer;19.0969;42.8638;2017;2214736
Aseer;19.0969;42.8638;2018;2261618
Aseer;19.0969;42.8638;2019;2308329
Tabouk;28.3838;36.555;2010;799316
Tabouk;28.3838;36.555;2011;815412
Tabouk;28.3838;36.555;2012;830784
Tabouk;28.3838;36.555;2013;845945
Tabouk;28.3838;36.555;2014;861228
Tabouk;28.3838;36.555;2015;876372
Tabouk;28.3838;36.555;2016;891813
Tabouk;28.3838;36.555;2017;911331
Tabouk;28.3838;36.555;2018;930507
Tabouk;28.3838;36.555;2019;949612
Hail;27.5236;41.7001;2010;610718
Hail;27.5236;41.7001;2011;623709
Hail;27.5236;41.7001;2012;636087
Hail;27.5236;41.7001;2013;648346
Hail;27.5236;41.7001;2014;660711
Hail;27.5236;41.7001;2015;672961
Hail;27.5236;41.7001;2016;685423
Hail;27.5236;41.7001;2017;700865
Hail;27.5236;41.7001;2018;716021
Hail;27.5236;41.7001;2019;731147
Northern Region;30.0799;42.8638;2010;322042
Northern Region;30.0799;42.8638;2011;328576
Northern Region;30.0799;42.8638;2012;334820
Northern Region;30.0799;42.8638;2013;341001
Northern Region;30.0799;42.8638;2014;347222
Northern Region;30.0799;42.8638;2015;353388
Northern Region;30.0799;42.8638;2016;359663
Northern Region;30.0799;42.8638;2017;367558
Northern Region;30.0799;42.8638;2018;375310
Northern Region;30.0799;42.8638;2019;383051
Jazan;16.8892;42.5611;2010;1366761
Jazan;16.8892;42.5611;2011;1395892
Jazan;16.8892;42.5611;2012;1423851
Jazan;16.8892;42.5611;2013;1451557
Jazan;16.8892;42.5611;2014;1479503
Jazan;16.8892;42.5611;2015;1507175
Jazan;16.8892;42.5611;2016;1535167
Jazan;16.8892;42.5611;2017;1569872
Jazan;16.8892;42.5611;2018;1603659
Jazan;16.8892;42.5611;2019;1637361
Najran;17.4917;44.1322;2010;505811
Najran;17.4917;44.1322;2011;516942
Najran;17.4917;44.1322;2012;527562
Najran;17.4917;44.1322;2013;538073
Najran;17.4917;44.1322;2014;548687
Najran;17.4917;44.1322;2015;559210
Najran;17.4917;44.1322;2016;569875
Najran;17.4917;44.1322;2017;582927
Najran;17.4917;44.1322;2018;595705
Najran;17.4917;44.1322;2019;608467
Al-Baha;20.0217;41.4713;2010;419073
Al-Baha;20.0217;41.4713;2011;427374
Al-Baha;20.0217;41.4713;2012;435308
Al-Baha;20.0217;41.4713;2013;443184
Al-Baha;20.0217;41.4713;2014;451109
Al-Baha;20.0217;41.4713;2015;458951
Al-Baha;20.0217;41.4713;2016;466946
Al-Baha;20.0217;41.4713;2017;477105
Al-Baha;20.0217;41.4713;2018;487108
Al-Baha;20.0217;41.4713;2019;497068
Al-Jouf;29.8874;39.3206;2010;441906
Al-Jouf;29.8874;39.3206;2011;451706
Al-Jouf;29.8874;39.3206;2012;461017
Al-Jouf;29.8874;39.3206;2013;470213
Al-Jouf;29.8874;39.3206;2014;479503
Al-Jouf;29.8874;39.3206;2015;488717
Al-Jouf;29.8874;39.3206;2016;498081
Al-Jouf;29.8874;39.3206;2017;509504
Al-Jouf;29.8874;39.3206;2018;520737
Al-Jouf;29.8874;39.3206;2019;531952
Grand Total;23.8859;45.0792;2010;27410508
Grand Total;23.8859;45.0792;2011;28173195
Grand Total;23.8859;45.0792;2012;28896840
Grand Total;23.8859;45.0792;2013;29613064
Grand Total;23.8859;45.0792;2014;30339795
Grand Total;23.8859;45.0792;2015;31062069
Grand Total;23.8859;45.0792;2016;31787580
Grand Total;23.8859;45.0792;2017;32612846
Grand Total;23.8859;45.0792;2018;33413660
Grand Total;23.8859;45.0792;2019;34218169
